FinalWgt,CR1,CR2,BDR3,BDR4,CR5,CR6,CR7,CR8,CR9,CR10,CR11,CR12,CR13,CR14,CR15,CR16,CR17,CR18,CR19,CR20,CR21,CR22,CR23,CR24,CR25,BDR26,CR27,CR28,BDR29,CR30,CR31,CR32,CR33,CR34,CR35,CR36,CR37,CR38,CR39,CR40,CR41,CR42,CR43,BR1,BR2,BR3,BR4,BR8,BR9,BR11,BR12,BR13,BR14,SLR1,SLR2,SLR3,SLR6,BDR58,SLR12,SLR16,Stratum,PSU
48.09117649,4,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,2,2,1,1,1,7,1,1,3,1,2,1,3,2,2,1,1,3,2,5,2,1,1,1,1,3,1,3,1,5,1,1,1,1,1,1,1,201301005,9
48.09117649,4,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,7,1,1,2,2,2,3,3,2,2,1,1,4,1,5,2,1,1,1,1,2,1,4,1,5,1,1,1,1,1,2,1,201301005,9
48.09117649,4,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,3,2,1,1,1,1,7,2,3,1,1,2,1,3,2,2,1,1,2,3,4,2,1,1,1,1,1,2,3,3,4,1,1,1,1,1,1,3,201301005,9
48.09117649,4,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,4,1,1,1,1,1,7,1,1,1,2,3,1,3,2,2,1,1,1,2,4,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,201301005,9
48.09117649,4,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,4,1,1,1,1,1,7,1,3,1,1,1,2,3,2,2,1,1,3,3,5,2,1,1,1,1,1,1,2,3,5,1,1,1,1,1,1,3,201301005,9
48.09117649,4,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,1,4,1,1,1,1,1,7,1,2,1,1,2,3,3,2,2,1,1,3,2,5,2,1,1,1,1,1,1,2,2,5,1,1,1,1,1,1,2,201301005,9
48.09117649,4,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,3,1,4,1,1,1,1,1,7,1,2,3,1,2,2,3,2,2,1,1,3,2,4,2,1,1,1,1,2,1,3,3,5,1,1,1,1,1,3,2,201301005,9
48.09117649,4,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,3,1,2,4,1,1,1,1,1,7,1,1,3,2,3,3,3,2,2,1,1,3,3,5,2,1,1,1,1,3,1,4,3,5,1,1,1,1,1,3,3,201301005,9
48.09117649,4,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,3,3,1,4,1,1,1,1,1,7,1,1,1,1,2,3,3,2,2,1,1,3,1,5,2,1,1,1,1,1,1,3,1,5,1,1,1,1,1,1,1,201301005,9
48.09117649,4,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,4,4,2,4,1,1,1,1,1,7,1,1,3,2,2,2,3,2,2,1,1,4,2,5,2,1,1,1,1,3,1,4,2,5,1,1,1,1,1,3,2,201301005,9
48.09117649,4,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,3,3,3,2,4,1,1,1,1,1,7,1,1,3,3,2,2,3,2,2,1,1,1,2,5,2,1,1,1,1,3,1,1,2,5,1,1,1,1,1,3,2,201301005,9
48.09117649,4,2,3,1,2,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,4,2,2,1,1,1,7,2,1,3,3,2,1,3,2,2,1,1,4,1,4,2,1,1,1,1,3,1,3,1,4,1,1,1,1,1,3,1,201301005,9
48.09117649,4,2,3,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,7,2,2,3,1,2,1,3,2,2,1,1,1,2,4,2,1,1,1,1,3,1,4,2,5,1,1,1,1,1,3,2,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,2,2,1,1,1,7,1,1,1,1,1,1,3,2,2,1,1,3,2,4,2,1,1,1,1,1,1,3,2,4,1,1,1,1,1,1,2,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,2,2,1,1,1,7,1,2,1,2,2,3,3,2,2,1,1,1,2,4,2,1,1,1,1,3,1,4,2,4,1,1,1,1,1,3,3,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,2,2,1,1,1,7,2,2,3,1,1,1,3,2,2,1,1,4,1,4,2,1,1,1,1,3,1,4,1,4,1,1,1,1,1,3,1,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,7,1,1,1,3,1,1,3,2,2,1,1,4,2,4,2,1,1,1,1,1,1,4,2,5,1,1,1,1,1,1,2,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,7,1,2,1,1,2,2,3,2,2,1,1,4,2,4,2,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,3,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,2,1,1,1,1,7,2,3,3,1,2,1,3,2,2,1,1,3,2,5,2,1,1,1,1,3,1,3,1,5,1,1,1,1,1,3,1,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,2,2,1,1,1,7,2,3,3,1,3,3,3,2,2,1,1,1,2,4,2,1,1,1,1,3,1,4,2,4,1,1,1,1,1,3,2,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,4,1,1,1,1,1,7,1,1,1,3,2,1,3,2,2,1,1,3,2,4,2,1,1,1,1,1,1,3,2,5,1,1,1,1,1,1,2,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,3,1,4,1,1,1,1,1,7,1,2,2,1,2,2,3,2,2,1,1,1,1,4,2,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,4,1,1,1,1,1,7,1,2,1,2,2,1,3,2,2,1,1,4,3,5,2,1,1,1,1,1,1,4,3,5,1,1,1,1,1,1,3,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,4,2,1,1,1,1,7,2,1,3,1,2,1,3,2,2,1,1,3,3,5,2,1,1,1,1,3,1,3,3,5,1,1,1,1,1,3,3,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,4,1,1,1,1,1,7,2,3,1,1,2,1,3,2,2,1,1,4,2,5,2,1,1,1,1,3,1,4,2,5,1,1,1,1,1,3,2,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,4,2,2,1,1,1,7,1,3,3,1,2,3,3,2,2,1,1,3,1,5,2,1,1,1,1,1,1,3,1,5,1,1,1,1,1,3,2,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,1,4,1,1,1,1,1,7,1,2,2,1,2,2,3,,2,1,1,1,1,4,2,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,1,1,1,1,1,7,1,2,1,1,2,3,3,2,2,1,1,3,2,5,2,1,1,1,1,3,1,3,2,5,1,1,1,1,1,1,2,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,1,1,1,1,1,7,1,3,3,1,2,3,3,2,2,1,1,3,2,5,2,1,1,1,1,3,1,3,2,5,1,1,1,1,1,3,2,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,1,1,1,1,1,7,2,3,3,1,2,3,3,2,2,1,1,3,2,5,2,1,1,1,1,3,1,3,2,5,1,1,1,1,1,3,2,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,1,1,1,1,1,7,2,3,3,1,3,3,3,2,2,1,1,3,2,5,2,1,1,1,1,3,1,3,2,5,1,1,1,1,1,3,1,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,1,1,1,1,1,7,2,3,3,1,3,3,3,2,2,1,1,3,2,5,2,1,1,1,1,3,1,3,2,5,1,1,1,1,1,3,2,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,2,1,1,1,1,7,2,1,3,1,2,1,3,2,2,1,1,3,3,5,2,1,1,1,1,3,1,3,3,5,1,1,1,1,1,3,3,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,3,1,4,1,1,1,1,1,7,1,2,3,1,2,3,3,2,2,1,1,4,3,4,2,1,1,1,1,1,1,4,3,4,1,1,1,1,1,1,3,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,3,2,2,4,1,1,1,1,1,7,1,3,3,1,3,3,3,2,2,1,1,3,1,5,2,1,1,1,1,1,1,3,1,5,1,1,1,1,1,3,1,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,5,5,2,4,1,1,1,1,1,7,1,1,1,2,2,1,3,2,2,1,1,4,2,5,2,1,1,1,1,3,1,1,2,5,1,1,1,1,1,3,2,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,2,3,5,2,4,1,1,1,1,1,7,1,2,1,2,2,1,3,2,2,1,1,4,1,4,2,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,5,2,2,2,4,1,1,1,1,1,7,1,2,1,2,2,3,3,2,2,1,1,3,2,5,2,1,1,1,1,1,1,3,2,5,1,1,1,1,1,1,2,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,7,2,3,3,1,2,3,3,2,2,1,1,4,2,4,2,1,1,1,1,3,1,4,2,4,1,1,1,1,1,3,2,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,7,2,1,3,1,2,1,3,2,2,1,1,1,2,4,2,1,1,1,1,3,1,4,2,4,1,1,1,1,1,3,2,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,4,2,1,1,1,1,7,2,1,1,1,2,1,3,2,2,1,1,3,2,5,2,1,1,1,1,1,1,3,2,5,1,1,1,1,1,1,2,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,4,1,1,1,1,1,1,1,1,1,3,2,3,3,2,2,1,1,1,2,5,2,1,1,1,1,1,1,1,2,5,1,1,1,1,1,1,2,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,4,1,1,1,1,1,7,1,2,3,1,2,3,3,2,2,1,1,1,1,4,2,1,1,1,1,3,1,4,1,4,1,1,1,1,1,3,1,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,3,3,2,4,1,1,1,1,1,7,2,1,3,2,1,1,3,2,2,1,1,3,1,4,2,1,1,1,1,3,1,4,1,4,1,1,1,1,1,3,1,201301005,9
48.09117649,4,2,3,2,2,1,1,1,2,2,2,1,2,2,1,1,1,6,1,2,3,1,4,1,2,1,3,1,1,1,2,1,1,2,3,3,2,2,1,1,2,1,4,2,1,1,1,1,1,1,4,1,4,1,1,1,1,1,3,1,201301005,9
48.09117649,4,2,3,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,7,1,2,1,1,2,1,1,2,2,1,1,4,2,4,2,1,1,1,1,2,1,4,2,5,1,1,1,1,1,2,2,201301005,9
48.09117649,4,2,3,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,2,1,1,1,1,7,2,2,3,1,1,1,3,2,2,1,1,4,1,4,2,1,1,1,1,3,1,4,1,4,1,1,1,1,1,3,1,201301005,9
48.09117649,4,2,3,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,2,1,1,1,1,7,2,2,3,1,3,3,3,2,2,1,1,4,1,4,2,1,1,1,1,3,1,4,1,4,1,1,1,1,1,3,1,201301005,9
48.09117649,4,2,3,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,2,1,1,1,1,7,2,2,3,1,3,3,3,2,2,1,1,4,1,4,2,1,1,1,1,3,1,4,1,4,1,1,1,1,1,3,1,201301005,9
48.09117649,4,2,3,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,5,5,1,2,4,1,1,1,1,1,7,1,2,3,1,2,1,3,2,2,1,1,1,3,1,2,1,1,1,1,3,1,4,3,4,1,1,1,1,1,3,3,201301005,9
48.09117649,4,2,3,3,2,1,1,1,2,2,1,1,2,2,4,4,4,6,1,2,2,1,4,1,1,1,1,1,7,2,1,1,1,2,2,3,2,2,1,1,4,1,4,2,1,1,1,1,1,1,4,1,5,1,1,1,1,1,1,1,201301005,9
48.09117649,5,2,3,,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,2,1,3,3,2,2,1,3,2,2,1,1,4,2,4,2,1,1,1,1,3,1,1,2,4,1,1,1,1,1,3,2,201301005,9
48.09117649,5,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,7,1,1,1,1,2,1,3,2,2,1,1,1,2,4,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,2,2,201301005,9
48.09117649,5,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,2,1,1,1,1,4,1,1,1,1,2,1,3,2,2,1,1,3,2,5,2,1,1,1,1,1,1,3,2,5,1,1,1,1,1,1,2,201301005,9
48.09117649,5,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,2,1,1,1,1,7,2,1,1,1,2,1,3,2,2,1,1,3,2,5,2,1,1,1,1,1,1,3,2,5,1,1,1,1,1,1,2,201301005,9
48.09117649,5,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,4,1,1,1,1,1,7,2,1,3,1,2,2,3,2,2,1,1,3,2,5,2,1,1,1,1,3,1,3,2,5,1,1,1,1,1,3,2,201301005,9
48.09117649,5,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,4,1,1,1,1,1,7,2,1,1,2,2,3,3,,2,1,1,1,2,4,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,201301005,9
48.09117649,5,2,3,1,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,4,1,2,4,1,1,1,1,1,7,1,2,1,1,2,1,3,2,2,1,1,4,1,4,2,1,1,1,2,1,1,4,1,4,1,1,1,1,1,1,1,201301005,9
48.09117649,5,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,7,1,1,1,3,1,1,3,2,2,1,1,4,2,4,2,1,1,1,1,1,1,4,2,5,1,1,1,1,1,1,2,201301005,9
48.09117649,5,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,4,1,1,1,1,1,7,2,3,3,3,3,1,3,2,2,1,1,4,3,5,2,1,1,1,1,3,1,2,3,5,1,1,1,1,1,3,3,201301005,9
48.09117649,5,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,7,2,3,1,1,2,2,3,2,2,1,1,3,2,5,2,1,1,1,1,1,1,4,1,5,1,1,1,1,1,1,3,201301005,9
48.09117649,5,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,1,1,1,1,1,7,1,3,3,1,3,3,3,2,2,1,1,3,3,5,2,1,1,1,1,1,1,3,1,5,1,1,1,1,1,3,1,201301005,9
48.09117649,5,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,3,2,4,1,1,1,1,1,7,1,2,1,1,2,1,3,2,2,1,1,1,3,4,2,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,3,201301005,9
48.09117649,5,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,3,1,1,2,1,1,1,1,1,6,1,1,3,3,3,3,3,2,2,1,1,4,3,5,2,1,1,1,1,3,1,4,3,5,1,1,1,1,1,3,3,201301005,9
48.09117649,5,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,3,2,1,1,4,1,1,1,1,1,7,1,3,1,3,3,1,3,2,2,1,1,1,2,5,2,1,1,1,1,1,1,3,2,5,1,1,1,1,1,1,1,201301005,9
48.09117649,5,2,3,2,2,1,1,1,2,2,2,1,2,2,1,1,2,1,1,5,1,1,4,1,1,1,1,1,7,1,3,3,1,2,3,3,2,2,1,1,4,2,5,2,1,1,1,1,3,1,4,2,5,1,1,1,1,1,3,2,201301005,9
48.09117649,5,2,3,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,2,2,4,1,4,1,1,1,1,1,7,1,3,1,3,2,1,3,2,2,1,1,3,2,5,2,1,1,1,1,1,1,3,2,5,1,1,1,1,1,1,2,201301005,9
48.09117649,5,2,3,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,3,2,4,1,4,1,1,1,1,1,7,1,3,1,3,2,1,3,2,2,1,1,3,2,5,2,1,1,1,1,1,1,3,2,5,1,1,1,1,1,1,2,201301005,9
48.09117649,5,2,3,3,2,1,1,1,2,2,2,3,2,2,3,3,3,5,2,1,1,2,4,1,1,1,3,6,1,1,2,2,1,2,2,1,2,2,1,1,4,2,5,1,6,1,2,2,3,1,4,2,5,6,1,2,3,5,1,2,201301005,9
48.09117649,5,2,3,4,2,1,1,1,2,2,1,1,2,2,1,1,1,1,5,5,1,1,4,2,2,1,1,1,7,1,2,3,1,2,1,3,2,2,1,1,1,2,4,2,1,1,1,1,3,1,4,3,4,1,1,1,1,1,3,3,201301005,9
48.09117649,5,2,3,4,2,1,1,1,2,2,1,1,2,2,2,2,4,6,1,1,1,1,4,1,1,1,3,1,7,1,1,3,1,2,3,1,2,2,1,1,1,3,5,2,1,1,1,3,3,1,4,3,5,1,1,1,1,1,3,3,201301005,9
48.09117649,5,2,3,4,2,1,1,1,2,2,1,3,2,2,3,3,3,5,1,2,3,2,4,1,1,1,2,2,1,1,2,3,3,2,3,1,2,1,1,1,4,3,5,1,1,1,1,1,1,1,3,1,5,1,1,1,1,1,1,1,201301005,9
48.09117649,5,2,3,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,2,2,1,1,1,7,1,2,3,2,2,3,3,2,2,1,1,1,2,4,2,,1,1,1,3,1,4,3,4,1,1,1,1,1,3,3,201301005,9
291.502283,5,1,2,2,1,4,1,1,1,2,2,1,1,2,2,2,3,5,5,5,5,2,4,1,1,1,1,1,7,2,3,3,1,3,3,3,2,2,1,1,4,3,5,1,4,1,1,1,3,1,4,,5,5,1,1,1,1,3,3,201301005,10
343.7213114,3,1,3,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,3,3,2,3,2,1,1,1,1,7,1,1,1,3,2,1,3,2,2,1,1,4,2,5,2,1,1,1,1,1,1,4,2,4,1,1,1,1,1,1,2,201301005,10
343.7213114,3,1,3,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,5,2,1,1,3,2,2,1,1,1,4,1,3,3,1,2,3,3,2,2,1,1,4,1,5,2,1,1,1,1,3,1,4,1,5,1,1,1,1,1,3,1,201301005,10
343.7213114,4,1,3,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,3,2,1,4,1,1,1,1,1,7,1,2,1,2,2,2,3,,2,1,1,4,2,5,2,1,1,1,1,2,1,4,2,5,1,1,1,1,1,1,2,201301005,10
343.7213114,4,1,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,7,1,3,2,1,2,1,3,2,2,1,1,,2,5,1,1,1,1,1,1,1,,1,5,1,1,1,1,1,1,2,201301005,10
343.7213114,4,1,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,2,2,1,1,1,7,1,1,3,1,1,1,3,2,2,1,1,4,2,5,2,1,1,1,1,3,1,2,2,5,1,1,1,1,1,3,2,201301005,10
343.7213114,4,1,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,3,3,2,3,1,1,1,1,1,7,1,1,1,3,2,3,3,2,2,2,1,3,1,4,2,1,1,1,1,1,1,3,1,4,1,1,1,1,1,1,1,201301005,10
343.7213114,4,1,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,5,5,1,4,1,1,1,1,1,2,1,1,1,3,2,3,3,2,2,1,1,2,1,4,2,1,1,1,1,3,1,4,1,4,1,1,1,1,1,3,1,201301005,10
343.7213114,4,1,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,5,5,1,4,1,1,1,1,1,7,1,1,1,3,2,3,3,2,2,1,1,2,1,4,2,1,1,1,3,3,1,3,1,4,1,1,1,1,1,3,1,201301005,10
343.7213114,4,1,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,3,1,3,1,4,2,2,1,1,1,7,1,1,3,3,2,2,3,2,2,1,1,4,1,5,2,1,1,1,1,2,1,4,1,5,1,1,1,1,1,3,1,201301005,10
343.7213114,4,1,3,1,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,4,2,2,1,1,1,7,2,2,3,3,2,2,3,2,2,1,1,3,2,4,2,1,1,1,1,3,1,3,2,4,1,1,1,1,1,3,2,201301005,10
343.7213114,4,1,3,1,2,1,1,1,2,2,2,1,2,2,3,1,1,1,1,1,1,2,4,2,2,1,1,1,7,2,1,3,1,1,1,3,2,2,1,1,1,3,4,2,1,1,1,1,3,1,1,3,4,1,1,1,,1,3,3,201301005,10
343.7213114,4,1,3,2,1,4,2,2,,,2,2,2,2,1,3,3,6,3,3,3,1,4,2,2,2,1,3,7,1,3,2,1,2,2,1,2,2,3,2,1,1,4,2,1,1,1,1,1,1,1,1,4,1,1,1,3,1,3,1,201301005,10
343.7213114,4,1,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,7,1,1,1,1,3,2,3,2,2,1,1,3,2,5,2,1,1,1,1,1,1,4,3,5,1,1,1,1,1,1,2,201301005,10
343.7213114,4,1,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,2,2,1,1,1,8,1,1,3,1,2,3,3,2,2,1,1,1,2,5,2,1,1,1,1,3,1,1,2,5,1,1,1,1,1,3,2,201301005,10
343.7213114,4,1,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,3,1,1,4,1,1,1,1,1,2,1,1,3,2,2,1,3,2,2,1,1,4,1,5,2,1,1,1,1,1,1,4,1,5,1,1,1,1,1,1,1,201301005,10
343.7213114,4,1,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,4,2,2,4,1,1,1,1,1,7,2,3,3,2,2,3,3,2,2,1,1,4,2,4,2,1,1,1,1,3,1,1,2,4,1,1,1,1,1,3,2,201301005,10
343.7213114,4,1,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,3,5,4,1,4,1,1,1,1,1,7,1,1,3,2,2,3,3,2,2,1,1,1,2,5,2,1,1,1,1,3,1,4,2,5,1,1,1,1,1,3,2,201301005,10
343.7213114,4,1,3,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,2,3,2,2,4,1,1,1,1,1,7,1,3,1,1,3,2,3,2,2,1,1,1,3,5,2,1,1,1,1,2,1,1,3,5,1,1,1,1,1,1,3,201301005,10
343.7213114,4,1,3,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,5,2,1,1,4,1,1,1,1,1,7,1,1,3,2,2,3,3,2,2,1,1,1,1,4,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,201301005,10
343.7213114,4,1,3,2,2,1,1,1,2,2,2,1,2,2,1,4,1,1,1,1,2,1,4,1,1,1,1,1,7,2,3,1,1,2,3,3,2,2,1,1,3,1,5,2,1,1,1,1,3,1,3,1,5,1,1,1,1,1,1,1,201301005,10
343.7213114,4,1,3,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,3,1,1,1,1,1,7,2,3,3,2,3,3,3,2,2,1,1,4,1,4,2,1,1,1,1,3,1,4,1,4,1,1,1,1,1,3,1,201301005,10
343.7213114,4,1,3,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,5,5,1,4,1,1,1,1,1,2,1,1,1,3,2,3,3,2,2,1,1,2,1,4,2,1,1,1,1,3,1,4,1,4,1,1,1,1,1,3,1,201301005,10
343.7213114,5,1,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,2,1,1,1,7,1,1,3,1,2,3,3,2,2,1,1,1,2,4,2,1,1,1,1,3,1,1,2,4,1,1,1,1,1,3,2,201301005,10
343.7213114,5,1,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,7,2,1,2,2,2,1,3,2,2,1,1,1,3,4,2,1,1,1,1,2,1,1,3,4,1,1,1,1,1,2,3,201301005,10
343.7213114,5,1,3,2,1,6,5,6,2,2,3,5,2,2,3,3,3,3,5,4,5,1,4,1,1,2,3,3,1,1,1,2,1,1,1,3,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,5,1,1,1,1,1,1,2,201301005,10
343.7213114,5,1,3,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,5,5,5,1,3,1,1,1,1,1,7,1,1,1,1,2,3,3,2,2,1,2,3,1,4,2,1,1,1,1,1,2,3,1,4,1,1,1,1,1,1,1,201301005,10
343.7213114,5,1,3,2,2,1,1,1,2,2,1,1,,,1,1,1,1,5,3,4,1,4,1,1,1,1,1,7,2,1,1,1,2,2,3,2,2,1,1,4,2,5,2,1,1,1,1,1,1,4,2,5,1,1,1,1,1,1,2,201301005,10
343.7213114,5,1,3,3,2,1,1,1,2,2,1,1,1,2,1,1,1,1,2,3,3,2,4,1,1,1,3,3,4,1,1,1,1,2,3,3,2,2,1,3,3,1,5,2,1,1,1,3,1,1,3,1,4,1,1,1,1,1,1,1,201301005,10
291.5022832,3,1,2,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,3,1,1,4,2,1,1,1,1,7,2,3,1,2,1,2,3,2,1,1,1,2,2,5,2,1,1,1,1,1,1,2,2,5,1,1,1,1,1,1,3,201301006,11
291.5022832,3,1,2,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,5,2,3,1,4,1,1,1,1,1,8,1,2,2,1,2,3,2,2,2,1,2,1,2,5,2,1,1,1,1,2,2,2,2,5,1,1,1,1,1,2,2,201301006,11
