FinalWgt,CR1,CR2,THR3,THR4,CR5,CR6,CR7,CR8,THR9,THR10,OR9,OR45,CR9,CR10,CR11,SR1,SR2,SR3,SR8,CR12,ELR1,ELR2,ELR3,CR13,CR14,SLR1,SLR2,SLR3,CR15,CR16,CR17,CR18,CR19,CR20,CR21,CR22,CR23,SR7,CR25,THR40,CR27,THR42,THR43,CR30,CR31,CR32,CR33,CR34,CR35,CR36,CR37,CR38,THR53,THR54,CR39,CR40,CR41,CR42,CR43,SR11,SR12,SR13,SR14,OR48,OR49,THR66,Stratum,PSU
745.9792287,4,2,2,5,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,4,3,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,201501001,1
745.9792287,4,2,2,5,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,8,1,2,1,1,2,3,2,2,2,4,4,1,1,2,3,5,1,2,3,5,3,2,2,201501001,1
745.9792287,4,2,2,5,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,4,3,1,1,1,1,8,1,2,1,1,2,3,3,2,2,2,4,1,1,2,3,4,1,2,3,5,3,2,2,201501001,1
745.9792287,4,2,2,5,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,4,3,2,1,1,1,8,1,1,2,1,2,3,3,2,2,4,4,1,1,1,1,5,1,1,2,5,2,2,2,201501001,1
745.9792287,4,2,2,5,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,4,4,1,1,1,1,2,1,1,1,2,3,2,3,2,2,4,4,1,1,4,2,,,3,2,5,3,2,2,201501001,1
745.9792287,4,2,2,5,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,5,1,1,4,3,1,1,1,1,8,1,2,3,1,2,1,3,2,2,2,4,1,1,4,1,5,1,2,3,5,3,3,3,201501001,1
745.9792287,4,2,2,5,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,4,3,1,1,1,1,8,1,2,1,1,3,3,3,2,2,2,2,1,1,2,1,4,1,2,1,4,3,3,3,201501001,1
745.9792287,4,2,2,5,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,4,3,1,1,1,1,8,1,2,1,1,3,3,3,2,2,2,2,1,2,1,2,4,1,1,2,5,2,2,2,201501001,1
745.9792287,4,2,2,5,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,1,4,4,2,1,1,1,8,1,2,1,1,3,3,3,2,2,2,2,1,1,1,1,4,1,1,1,4,3,2,2,201501001,1
745.9792287,4,2,2,6,1,5,1,1,2,1,8,3,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,4,2,2,6,5,5,5,2,4,3,2,1,1,5,3,1,3,1,1,2,3,3,2,2,2,2,1,2,3,3,4,2,2,3,4,3,2,2,201501001,1
745.9792287,4,2,2,6,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,3,3,2,4,3,1,1,1,1,8,1,2,1,1,2,3,3,2,2,4,4,1,1,3,1,5,1,3,1,5,3,2,2,201501001,1
745.9792287,4,2,2,6,2,1,1,1,1,1,1,5,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,8,1,2,2,1,2,1,2,2,2,4,4,1,1,3,1,4,1,3,1,4,2,2,2,201501001,1
745.9792287,4,2,2,6,2,1,1,1,2,1,1,4,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,4,3,1,1,1,1,8,1,2,1,1,3,3,3,2,2,2,2,1,1,2,1,4,1,2,1,4,3,3,3,201501001,1
1023.225777,3,,,2,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,2,1,2,1,1,2,2,3,2,2,2,4,1,1,1,3,5,1,3,3,5,3,3,3,201501001,1
1023.225777,3,1,2,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,2,1,1,1,8,1,2,1,1,2,1,3,2,2,4,4,1,1,2,1,5,1,2,1,5,2,3,3,201501001,1
1023.225777,3,1,2,3,1,4,2,2,2,5,2,1,2,2,3,2,1,1,1,1,1,1,1,2,2,1,1,1,2,3,3,2,4,2,1,1,4,4,1,2,3,2,3,2,2,1,3,2,3,3,2,1,2,1,3,2,4,2,1,1,2,2,1,2,3,2,201501001,1
1023.225777,3,1,2,4,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,3,2,1,,2,3,2,2,2,2,1,1,3,3,4,1,2,3,4,3,3,3,201501001,1
1023.225777,3,1,2,4,2,1,1,1,1,1,1,3,2,2,1,2,1,,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,8,1,1,1,1,3,3,3,2,2,4,4,1,1,3,3,5,1,2,3,5,3,3,3,201501001,1
1023.225777,3,1,2,4,2,1,1,1,1,1,1,3,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,4,1,2,1,1,3,3,3,2,2,2,2,1,1,4,3,4,1,3,3,5,1,2,2,201501001,1
1023.225777,3,1,2,5,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,4,3,1,1,1,1,8,1,1,3,1,2,3,3,2,2,4,4,1,1,1,1,5,1,1,2,5,2,2,2,201501001,1
1023.225777,3,1,2,5,2,1,1,1,1,1,1,5,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,1,1,2,2,3,2,2,4,4,1,,,1,1,3,1,3,5,3,3,3,201501001,1
1023.225777,4,1,2,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,4,2,1,1,3,2,3,3,2,2,4,4,1,1,3,3,5,4,2,3,4,3,3,3,201501001,1
1023.225777,4,1,2,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,8,2,1,1,1,2,3,3,2,2,4,4,1,1,4,2,5,1,4,3,5,2,2,2,201501001,1
1023.225777,4,1,2,2,2,1,1,1,1,1,1,3,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,4,3,1,1,1,1,7,2,1,1,2,3,3,2,2,2,3,4,1,1,1,2,2,1,1,3,2,2,1,3,201501001,1
1023.225777,4,1,2,2,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,,,,,1,1,1,1,1,2,1,1,1,3,2,1,3,1,3,3,3,2,2,2,2,1,1,1,1,5,1,1,1,5,2,2,3,201501001,1
1023.225777,4,1,2,3,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,8,1,1,1,1,3,3,3,,2,4,4,1,1,3,3,4,1,3,3,5,3,3,2,201501001,1
1023.225777,4,1,2,3,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,4,4,1,1,1,1,8,1,2,1,1,2,2,1,1,2,2,2,1,2,1,1,4,1,4,1,4,3,2,2,201501001,1
1023.225777,4,1,2,4,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,8,1,2,1,1,2,3,3,2,2,4,4,1,1,1,3,4,1,1,3,4,2,2,2,201501001,1
1023.225777,4,1,2,4,2,1,1,1,1,1,1,3,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,8,1,1,2,3,2,3,3,2,2,4,4,1,1,3,3,4,1,3,3,4,2,2,2,201501001,1
1023.225777,4,1,2,5,2,,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,,1,1,1,4,4,1,1,1,1,8,1,2,2,2,1,3,3,2,2,4,4,1,1,1,2,4,1,1,2,4,1,2,2,201501001,1
1023.225777,4,1,2,5,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,8,1,3,2,1,2,3,3,2,2,3,2,1,1,3,3,4,1,3,3,4,3,2,3,201501001,1
1023.225777,4,1,2,5,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,3,1,4,4,1,1,1,1,8,1,2,1,1,2,3,3,2,2,2,2,1,1,2,1,5,1,2,1,5,3,3,3,201501001,1
1023.225777,4,1,2,6,1,1,1,1,1,1,1,5,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,4,4,1,1,1,1,8,1,2,1,1,2,3,3,2,2,2,2,1,1,4,3,5,,4,3,5,1,2,2,201501001,1
1023.225777,4,1,2,6,2,1,1,1,1,1,1,1,,1,,1,2,1,2,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,201501001,1
1268.269105,3,1,3,3,2,1,1,1,1,1,1,3,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,4,4,1,1,1,1,8,1,1,2,3,2,3,2,2,2,4,4,1,1,1,3,4,1,1,3,4,2,2,2,201501001,1
1268.269105,4,1,3,4,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,4,2,1,1,3,2,3,3,2,2,4,4,1,1,3,3,5,4,2,3,4,3,3,3,201501001,1
934.3341225,3,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,4,4,2,1,1,1,1,1,1,2,1,2,1,3,2,2,2,1,1,1,2,3,5,1,3,2,5,3,3,3,201501001,2
934.3341225,3,2,2,2,,,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,8,1,1,1,1,2,3,3,2,2,4,4,1,1,4,3,5,1,4,3,5,3,3,3,201501001,2
934.3341225,3,2,2,3,2,1,1,1,1,1,1,3,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,5,2,5,2,4,4,1,1,1,1,3,2,3,3,1,2,3,2,2,2,4,4,1,1,1,2,4,1,1,2,4,1,2,2,201501001,2
934.3341225,3,2,2,4,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,4,4,2,1,1,1,3,2,3,2,2,2,1,3,2,2,2,4,1,1,4,3,4,1,4,2,4,2,2,2,201501001,2
934.3341225,3,2,2,5,2,1,1,1,1,1,1,3,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,5,3,3,1,2,3,1,1,1,1,1,1,2,2,1,2,3,3,2,2,4,4,1,1,2,2,5,1,,2,5,2,2,2,201501001,2
934.3341225,3,2,2,7,2,1,1,1,1,1,1,3,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,5,5,5,2,4,3,1,1,2,1,2,1,1,2,1,2,3,2,2,2,4,4,1,1,4,,4,1,3,3,4,2,2,3,201501001,2
934.3341225,4,2,2,2,1,5,1,1,1,1,1,3,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,5,3,1,2,4,3,1,1,1,1,1,2,3,2,1,2,2,3,2,2,4,1,1,1,2,1,4,1,2,2,4,1,3,3,201501001,2
934.3341225,4,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,,1,1,1,8,1,3,2,1,2,3,2,2,2,2,4,1,1,3,3,5,1,3,3,5,1,2,2,201501001,2
934.3341225,4,2,2,2,2,1,1,1,2,1,1,3,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,5,2,2,2,4,3,1,1,1,1,8,2,3,2,1,2,3,2,2,2,4,4,1,1,3,3,5,1,3,3,5,3,2,2,201501001,2
934.3341225,4,2,2,3,2,1,1,1,1,1,1,3,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5,4,1,4,3,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,1,1,3,2,4,1,3,2,4,3,2,2,201501001,2
934.3341225,4,2,2,4,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,3,3,1,4,4,1,1,1,1,2,1,2,1,1,2,2,3,2,2,2,4,1,1,3,1,5,3,2,1,5,1,2,2,201501001,2
934.3341225,4,2,2,4,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,4,4,1,1,1,1,2,1,1,2,3,2,3,3,2,2,4,4,1,1,1,3,4,1,1,2,4,2,2,2,201501001,2
934.3341225,4,2,2,4,2,1,1,1,1,1,1,3,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,4,2,1,1,1,1,2,1,2,1,1,3,3,3,2,2,4,4,1,1,3,2,5,1,2,2,5,2,2,2,201501001,2
934.3341225,4,2,2,4,2,1,1,1,1,1,1,3,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,3,3,2,1,1,1,2,1,1,2,1,3,3,3,2,2,4,4,1,1,2,3,5,1,2,3,5,2,2,2,201501001,2
934.3341225,4,2,2,4,2,1,1,1,1,1,1,3,2,2,2,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,4,4,1,1,1,1,2,1,2,1,1,2,2,3,2,2,2,2,1,1,4,2,4,1,3,3,4,3,2,3,201501001,2
934.3341225,4,2,2,5,2,1,1,1,2,1,1,3,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,5,2,5,1,4,3,1,1,2,3,2,2,2,2,1,2,3,2,1,2,1,1,1,1,3,2,5,3,2,3,4,2,2,2,201501001,2
934.3341225,4,2,,2,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,4,2,2,2,4,3,1,1,1,1,2,1,2,2,1,2,1,2,2,2,2,4,1,1,3,2,,,2,2,5,1,2,2,201501001,2
934.3341225,5,2,2,3,2,1,1,1,1,1,1,3,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,3,2,1,2,4,4,1,1,1,1,2,1,1,1,1,2,3,3,2,2,4,4,1,1,3,3,5,1,3,3,4,2,2,2,201501001,2
934.3341225,5,2,2,4,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,4,4,1,1,1,1,2,1,3,3,1,3,2,3,2,2,4,4,1,1,2,3,5,1,3,3,5,2,2,2,201501001,2
1281.583618,3,1,2,3,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,1,1,1,1,2,2,2,2,3,2,2,1,4,1,1,4,1,5,1,1,3,5,3,3,3,201501001,2
1281.583618,3,1,2,3,,,1,1,2,2,5,3,1,2,3,1,4,3,6,2,1,2,2,2,2,1,1,1,1,1,1,2,3,3,3,2,4,3,1,1,2,2,2,1,2,1,1,2,3,2,2,2,2,4,2,2,2,1,4,4,1,3,3,1,1,1,201501001,2
1281.583618,3,1,2,4,1,5,2,4,1,8,7,3,1,1,1,1,5,3,6,7,1,1,1,2,2,1,1,1,3,3,3,3,2,3,4,1,4,3,1,2,3,2,2,1,2,2,1,2,2,2,2,2,2,2,3,1,3,1,1,4,2,3,3,2,2,2,201501001,2
1281.583618,3,1,2,4,2,1,1,1,1,1,1,3,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2,3,3,2,2,3,1,1,1,3,1,5,1,2,1,5,2,2,2,201501001,2
1281.583618,3,1,2,4,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,4,4,1,1,1,1,8,1,2,2,1,2,1,1,2,2,4,4,1,1,4,3,4,1,4,3,4,2,1,1,201501001,2
1281.583618,4,1,2,2,1,1,1,1,1,1,1,5,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,2,1,4,3,1,1,1,1,8,1,1,2,1,2,3,2,2,2,1,2,1,1,1,2,4,2,2,2,4,3,3,3,201501001,2
1281.583618,4,1,2,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,4,4,1,1,1,1,8,1,1,1,1,2,3,3,2,2,4,4,1,1,3,3,4,1,3,3,3,3,2,2,201501001,2
1281.583618,4,1,2,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,4,4,1,1,1,1,8,1,3,1,1,2,3,3,2,2,4,4,1,1,3,3,4,1,3,3,3,3,2,2,201501001,2
1281.583618,4,1,2,3,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,3,1,2,2,4,2,1,1,1,1,2,1,1,2,1,2,3,3,2,2,1,1,1,1,4,3,5,1,2,3,4,3,3,3,201501001,2
1281.583618,4,1,2,3,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,,,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,2,1,2,1,2,1,1,1,3,2,1,1,2,5,2,1,3,201501001,2
1281.583618,4,1,2,4,1,6,,,4,4,5,1,1,1,3,1,2,6,2,4,1,2,2,2,2,1,1,1,3,2,3,2,2,2,2,2,4,3,1,3,2,4,3,1,3,2,3,1,2,1,,2,1,3,1,4,1,1,3,1,2,1,3,1,2,2,201501001,2
1281.583618,4,1,2,4,2,1,1,1,2,1,1,1,2,2,1,1,6,2,6,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,4,4,1,1,1,1,8,2,2,2,1,2,3,3,2,2,4,4,1,1,2,3,4,1,2,3,4,2,2,2,201501001,2
1281.583618,4,1,2,4,2,1,1,1,2,1,1,3,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,3,3,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,4,1,2,3,1,3,1,3,201501001,2
1281.583618,4,1,2,5,2,1,1,1,2,1,1,1,1,1,3,1,5,3,6,4,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,4,4,1,1,2,1,8,1,1,1,1,2,2,2,1,1,3,2,3,1,2,2,1,3,3,1,3,2,1,2,201501001,2
1281.583618,4,1,2,5,2,1,1,1,2,1,1,1,,,1,1,2,7,2,5,1,2,2,,,1,2,2,3,3,3,1,3,1,3,2,1,3,1,1,2,1,3,1,2,2,3,1,2,,2,1,3,2,1,4,2,2,1,1,2,1,3,1,3,2,201501001,2
1281.583618,4,1,2,5,2,1,1,1,2,1,1,3,1,1,3,1,5,5,2,4,2,1,1,,,2,2,2,3,3,3,1,3,1,2,2,4,4,1,1,2,1,8,1,1,1,1,2,1,3,1,2,3,1,2,1,3,2,3,1,3,2,1,2,1,3,201501001,2
1281.583618,4,1,2,5,2,1,1,1,2,1,1,3,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,4,3,2,1,1,1,1,1,1,1,2,2,2,3,2,2,3,2,2,3,2,2,4,3,1,2,4,3,3,3,201501001,2
1281.583618,5,1,2,2,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,3,2,1,3,1,2,1,2,1,3,1,2,2,1,2,2,3,2,2,2,2,2,1,2,3,4,2,1,3,3,1,2,2,201501001,2
