GRPwgt,CR1,CR2,THR3,THR4,CR5,CR6,CR7,CR8,THR9,THR10,THR11,THR12,CR9,CR10,CR11,CR12,CR13,CR14,SLR1,SLR2,SLR3,THR22,THR23,THR24,CR15,CR16,CR17,CR18,THR29,THR30,CR19,CR20,CR21,CR22,CR23,CR25,THR37,THR38,THR39,THR40,CR30,CR31,CR32,CR33,CR34,THR46,OR40,CR35,CR36,CR37,CR38,CR39,CR40,CR41,CR42,THR56,THR57,THR58,ELR1,THR60,ELR2,THR62,THR63,THR64,THR65,THR66,THR67,THR68,THR69,THR70,THR71,THR72,THR73,THR74,THR75,THR76,THR77,THR78,Stratum,PSU
90.8902327,3,2,1,3,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,8,1,1,1,1,2,3,3,3,3,2,2,1,1,1,1,4,3,3,1,2,1,1,3,1,1,1,1,4,3,3,1,1,1,1,1,3,3,3,202201001,1
90.8902327,3,2,1,3,2,1,1,1,1,1,3,1,2,2,1,1,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,2,1,3,3,1,2,2,3,3,2,2,2,1,2,4,2,3,1,1,1,2,1,1,3,2,2,3,1,3,1,3,1,1,1,1,1,3,3,3,202201001,1
90.8902327,3,2,1,3,2,1,1,1,1,1,3,2,2,2,1,1,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,5,2,1,1,1,3,2,3,2,3,2,2,2,2,3,1,3,3,3,1,1,3,4,3,3,3,2,1,2,3,3,1,1,1,1,2,3,3,3,202201001,1
90.8902327,3,2,1,3,2,1,1,1,1,1,5,1,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,5,5,1,1,1,1,4,1,1,1,1,2,1,2,2,1,1,2,3,1,3,2,2,1,1,2,1,3,3,3,1,1,1,1,2,2,2,2,2,3,3,3,2,1,1,1,1,3,3,3,202201001,1
90.8902327,3,2,1,4,1,5,3,4,8,8,3,2,1,1,2,2,2,2,1,1,1,5,4,1,4,4,3,3,6,2,1,1,1,2,3,1,3,3,3,1,1,3,1,3,3,2,3,3,2,2,2,1,3,3,1,2,3,1,1,1,4,3,1,4,2,3,3,1,2,2,2,3,1,3,4,1,1,1,202201001,1
90.8902327,3,2,1,4,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,2,1,1,2,3,3,3,3,2,2,2,1,1,1,1,3,3,3,1,2,1,1,2,1,1,3,3,3,3,3,1,1,1,1,1,3,3,3,202201001,1
90.8902327,3,2,1,4,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,1,8,2,1,1,1,2,2,1,3,2,2,2,1,1,3,1,3,1,1,1,2,1,1,3,1,1,1,1,3,1,3,1,1,1,1,1,1,2,1,202201001,1
90.8902327,3,2,1,5,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,8,1,1,3,3,3,3,2,3,2,2,2,3,2,2,2,3,3,3,1,1,3,2,3,3,3,3,2,2,2,1,1,1,2,1,2,2,1,1,202201001,1
90.8902327,4,2,1,4,2,1,1,1,1,1,3,2,2,2,1,1,2,2,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,3,2,1,1,1,3,1,3,1,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,2,3,2,2,3,3,3,2,1,3,3,1,1,2,2,1,1,3,202201001,1
107.000328,2,1,1,2,2,1,1,1,1,1,5,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,1,1,3,3,3,3,3,3,2,1,2,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,202201001,1
107.000328,2,1,1,4,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,4,3,4,4,2,2,5,2,1,1,2,1,1,1,1,3,2,1,3,2,1,3,3,3,1,1,2,3,2,1,2,3,2,1,1,2,1,1,3,4,2,2,1,2,1,1,1,1,2,2,1,1,3,1,202201001,1
107.000328,3,1,1,1,1,3,1,1,1,5,1,2,2,2,1,1,2,2,1,1,1,2,1,1,2,2,2,4,5,5,1,2,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,1,1,2,1,1,1,1,1,1,3,3,3,1,4,4,4,2,1,2,2,202201001,1
107.000328,3,1,1,2,1,2,7,7,8,1,1,3,2,2,1,1,2,2,1,1,1,4,1,1,4,3,4,6,2,2,1,1,1,2,1,2,3,1,3,1,1,1,1,1,1,2,1,3,2,1,1,2,1,2,2,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,2,2,2,2,1,202201001,1
107.000328,3,1,1,2,1,5,1,1,1,5,3,2,2,2,1,1,2,2,1,1,1,2,4,1,2,2,2,6,6,5,1,1,1,2,4,2,1,1,1,8,1,1,1,2,1,2,3,3,3,2,2,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,1,2,1,3,2,1,1,1,1,3,3,3,202201001,1
107.000328,3,1,1,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,8,1,1,3,1,2,3,2,2,3,2,2,1,1,3,1,4,3,3,1,2,1,1,3,1,1,3,1,4,1,3,1,1,1,1,1,3,3,3,202201001,1
107.000328,3,1,1,2,2,1,1,1,1,1,3,2,2,2,1,1,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,8,1,1,2,3,2,2,3,3,3,2,2,3,2,2,1,3,2,1,1,2,1,1,2,1,1,2,1,3,2,3,2,1,1,1,1,3,3,3,202201001,1
107.000328,3,1,1,3,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,8,1,1,2,3,2,2,3,3,3,2,2,1,1,3,1,3,2,1,1,2,1,1,2,1,1,2,1,3,2,3,2,1,1,1,1,3,3,3,202201001,1
107.000328,3,1,1,4,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,8,2,1,3,1,1,2,3,3,3,2,2,1,1,2,2,1,1,1,2,2,1,1,3,2,3,2,1,3,2,1,1,2,2,1,3,1,1,1,202201001,1
87.12059171,2,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,8,1,1,1,2,1,2,3,3,3,2,2,3,2,2,1,3,2,1,1,2,1,1,2,1,1,2,1,3,2,3,2,1,1,1,1,3,3,3,202201001,1
87.12059171,2,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,5,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,3,3,1,1,2,1,1,2,2,1,2,1,3,3,3,2,1,1,1,1,3,3,3,202201001,1
87.12059171,2,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,2,1,1,1,6,1,2,1,1,2,2,2,3,3,2,2,1,1,4,1,4,1,1,1,2,1,1,2,1,1,4,1,2,1,2,1,1,1,1,1,2,2,1,202201001,1
87.12059171,2,2,1,2,2,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,3,2,3,2,2,1,1,2,1,4,3,3,1,2,1,1,3,1,1,1,1,4,3,3,1,1,1,1,1,3,3,1,202201001,1
87.12059171,2,2,1,2,2,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,4,2,1,1,1,1,1,1,1,2,2,1,3,1,1,1,1,2,2,1,1,1,2,2,3,2,3,2,2,1,1,3,3,2,3,3,1,2,1,1,3,2,2,3,1,2,3,3,2,1,1,1,1,3,3,3,202201001,1
87.12059171,2,2,1,3,1,3,4,2,3,2,1,3,1,1,2,7,2,2,1,1,1,4,1,1,4,4,4,6,8,2,2,5,1,1,1,1,4,1,3,2,1,2,1,2,2,2,2,2,2,2,2,2,3,4,1,3,1,3,1,1,1,2,2,3,3,4,1,3,1,3,3,3,3,2,1,1,1,3,202201001,1
87.12059171,2,2,1,3,1,5,1,1,1,1,3,2,2,2,1,1,2,2,1,1,1,2,4,1,2,2,2,2,5,5,5,1,1,2,4,1,1,1,1,2,1,1,2,1,3,1,2,3,1,1,1,1,1,3,3,4,2,3,1,2,1,1,3,2,1,1,1,4,3,1,1,2,1,1,1,3,3,3,202201001,1
87.12059171,2,2,1,3,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,1,2,2,2,3,3,2,2,1,1,4,3,4,1,1,1,2,1,1,2,1,1,4,3,4,2,2,1,1,1,1,1,2,1,1,202201001,1
87.12059171,2,2,1,3,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,8,1,3,1,3,2,2,2,1,2,2,2,1,1,2,2,3,1,3,1,2,1,1,2,2,2,2,2,3,1,2,2,1,1,1,1,3,1,3,202201001,1
87.12059171,3,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,3,5,5,1,1,2,4,1,1,1,1,8,2,1,3,3,3,3,3,3,2,2,2,1,1,4,1,3,1,2,1,2,1,1,2,1,1,1,1,3,2,3,1,1,1,1,1,2,2,1,202201001,1
87.12059171,3,2,1,1,2,1,1,1,1,1,3,2,2,2,1,1,2,2,1,1,1,1,3,1,2,1,2,2,1,5,1,1,1,2,4,1,1,1,1,1,2,1,1,1,2,2,3,2,1,1,2,2,1,2,1,3,3,3,1,,,1,3,1,1,1,1,4,3,3,1,1,1,1,1,3,3,1,202201001,1
87.12059171,3,2,1,2,1,5,3,4,8,5,3,2,1,1,3,7,2,2,1,1,1,5,4,1,3,4,3,6,4,3,2,3,2,1,3,1,6,3,2,2,1,1,1,3,2,2,2,1,2,2,2,3,2,2,3,1,3,3,1,1,3,3,2,3,3,2,3,1,1,3,2,2,2,2,2,1,1,1,202201001,1
87.12059171,3,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,2,1,1,2,2,2,2,3,2,3,2,2,1,1,2,1,4,3,3,1,2,1,1,3,1,1,1,1,4,3,3,1,1,1,1,1,3,3,1,202201001,1
87.12059171,3,2,1,2,2,1,1,1,1,1,3,2,2,2,1,1,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,2,1,1,2,3,3,2,3,2,3,2,2,1,1,2,1,4,3,3,1,2,1,1,3,1,1,1,1,4,3,3,1,1,1,1,1,3,3,1,202201001,1
87.12059171,3,2,1,3,1,5,1,1,1,7,3,2,2,2,1,1,2,2,1,1,1,2,3,1,2,3,2,2,3,5,1,5,2,1,3,1,1,1,1,3,2,1,1,3,1,3,2,1,1,1,2,2,2,4,3,3,2,3,1,2,1,1,3,2,3,1,2,1,3,1,4,2,2,3,1,3,1,3,202201001,1
87.12059171,3,2,1,3,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,8,1,1,2,1,2,3,3,3,3,2,2,1,1,3,1,4,3,3,1,2,1,1,3,1,1,1,1,4,3,3,1,1,1,1,1,3,3,3,202201001,1
87.12059171,3,2,1,4,2,1,1,1,1,1,3,1,2,2,1,1,2,2,1,1,1,1,3,1,1,1,1,1,1,1,5,5,5,2,4,1,1,1,1,2,1,1,2,2,2,2,3,2,3,2,2,1,1,2,1,4,3,3,1,2,1,1,3,1,1,1,1,4,3,3,1,1,1,1,1,3,3,1,202201001,1
87.12059171,3,2,1,4,2,1,1,1,1,1,5,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,1,8,1,1,1,1,1,2,1,3,3,1,2,2,2,1,2,1,1,3,1,1,4,3,2,4,4,4,3,1,2,3,1,2,2,2,1,3,1,2,202201001,1
87.12059171,3,2,1,6,1,3,5,3,5,5,1,3,2,2,1,1,2,2,1,1,1,5,1,1,4,3,3,6,8,2,1,1,1,2,3,2,3,1,2,3,1,1,1,1,3,2,2,2,3,2,2,1,1,1,1,3,2,2,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,2,202201001,1
89.82669924,3,1,2,2,1,2,1,1,1,1,3,1,2,2,1,1,2,2,1,1,1,2,4,1,2,2,2,2,5,5,5,1,2,2,4,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,3,2,3,3,3,1,2,1,1,2,1,1,3,2,4,3,3,1,1,1,1,1,3,3,1,202201001,1
89.82669924,3,1,2,3,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,8,1,2,3,1,2,2,2,3,3,2,2,1,1,3,1,3,1,1,1,2,1,1,2,1,1,2,1,3,3,2,1,1,1,1,1,3,3,1,202201001,1
89.82669924,3,1,2,4,,,1,1,1,1,1,4,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,1,1,2,1,1,1,1,3,3,3,3,2,2,3,2,2,1,3,1,1,1,1,1,1,1,1,1,4,1,3,2,2,4,2,1,2,4,1,1,2,202201001,1
89.82669924,3,1,2,5,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,8,1,1,1,1,3,3,3,3,3,2,2,1,1,1,1,4,3,1,2,2,1,1,3,1,1,1,1,4,3,3,1,1,1,1,1,2,2,2,202201001,1
89.82669924,3,1,2,5,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3,2,1,1,1,2,2,3,2,3,2,2,1,1,3,1,4,1,2,1,2,1,1,2,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,202201001,1
89.82669924,4,1,2,2,1,3,3,3,8,8,3,2,2,2,1,1,2,2,1,1,1,5,3,1,3,3,3,3,5,5,2,5,1,2,1,1,2,2,2,5,1,3,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,4,2,2,1,3,3,2,2,2,2,2,1,1,2,202201001,1
89.82669924,4,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,8,1,1,3,3,1,1,3,3,3,2,2,1,1,1,1,4,1,1,1,2,1,1,2,1,1,2,1,4,3,2,1,1,1,1,1,3,3,3,202201001,1
89.82669924,4,1,2,3,1,2,2,4,8,7,3,2,2,2,1,1,2,2,1,1,1,5,4,1,3,4,3,3,5,5,1,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,202201001,1
89.82669924,4,1,2,3,1,2,7,5,8,2,3,3,2,2,1,1,1,1,4,2,3,3,2,1,4,4,3,2,2,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,202201001,1
89.82669924,4,1,2,3,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3,1,1,3,1,1,2,3,3,3,2,2,1,1,3,2,4,1,1,2,2,1,1,2,1,1,1,3,4,3,3,1,1,1,1,1,3,1,1,202201001,1
89.82669924,4,1,2,3,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,4,2,1,1,1,1,2,1,3,3,2,3,3,3,2,2,1,2,2,1,2,3,1,1,2,1,3,1,2,1,1,1,3,2,1,2,3,2,1,3,1,2,2,2,202201001,1
89.82669924,4,1,2,4,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,1,1,1,1,8,1,1,3,1,3,3,3,3,2,2,2,1,1,4,3,3,3,1,1,2,1,1,3,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,202201001,1
89.82669924,4,1,2,4,2,1,1,1,1,1,3,1,2,2,1,1,2,2,1,1,1,1,5,1,1,1,1,1,1,1,1,3,3,2,4,1,1,1,1,8,1,1,2,1,2,2,2,3,2,2,2,1,1,4,1,4,3,3,1,2,1,1,3,1,1,4,1,4,3,3,1,1,1,1,1,2,1,3,202201001,1
89.82669924,4,1,2,5,1,3,1,1,1,1,3,1,2,2,1,1,2,2,1,1,1,2,2,1,2,2,2,2,8,5,1,1,1,2,4,1,1,1,1,3,2,1,3,1,1,3,3,3,3,2,2,1,1,4,1,1,1,1,1,2,1,1,3,1,1,4,1,1,3,3,4,3,3,1,1,3,3,1,202201001,1
85.13869881,3,2,2,4,2,1,1,1,1,1,3,1,2,2,1,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,5,1,1,1,4,1,1,1,1,3,2,1,1,3,2,2,3,1,3,2,2,1,1,3,1,3,1,1,1,2,1,1,2,1,1,2,1,3,3,3,1,1,1,1,1,3,3,1,202201001,1
85.13869881,4,2,2,2,2,1,1,1,1,1,3,1,2,2,1,1,2,2,1,1,1,1,4,1,1,1,1,1,1,1,5,1,1,2,4,1,1,1,1,2,1,1,1,2,2,2,3,3,3,2,2,1,1,4,3,4,3,1,2,2,1,1,3,1,1,3,3,4,3,3,2,1,1,1,1,3,1,1,202201001,1
85.13869881,4,2,2,3,1,6,1,1,1,8,3,3,2,2,1,1,2,2,1,1,1,2,5,1,2,3,2,3,3,3,2,5,5,2,4,1,1,1,1,3,1,1,1,2,3,2,2,2,2,1,2,2,1,1,1,3,1,3,2,1,1,2,3,1,1,3,2,1,3,2,1,2,1,2,2,2,1,2,202201001,1
85.13869881,4,2,2,3,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,8,1,1,1,1,2,2,2,3,3,2,2,3,2,4,1,3,1,1,1,1,2,2,2,3,2,2,1,3,2,2,1,2,1,1,2,2,1,2,202201001,1
85.13869881,4,2,2,3,2,1,1,1,1,1,3,1,2,2,1,1,2,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,8,2,1,2,1,3,2,3,1,3,2,2,1,1,3,1,4,1,2,1,2,1,1,2,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,202201001,1
85.13869881,4,2,2,3,2,1,1,1,1,1,3,2,2,2,1,1,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,8,2,1,2,3,2,2,3,2,2,2,2,2,1,1,2,2,1,1,1,1,2,1,2,1,2,1,1,1,2,2,1,2,1,2,2,1,3,1,202201001,1
85.13869881,4,2,2,4,1,5,1,1,1,1,3,2,2,2,1,1,2,2,1,1,1,2,5,1,2,3,2,6,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,1,3,1,2,2,2,2,3,1,1,3,2,1,1,2,2,1,2,3,1,2,1,1,2,2,1,2,2,2,1,1,202201001,1
85.13869881,4,2,2,4,1,5,2,3,8,5,3,2,2,2,1,1,2,2,1,1,1,5,4,1,3,3,3,6,3,4,5,2,2,1,4,1,6,1,3,2,1,3,2,1,2,2,3,3,3,2,2,3,2,1,3,2,1,3,1,2,1,1,2,2,2,2,3,2,1,1,2,1,2,2,1,2,1,1,202201001,1
85.13869881,4,2,2,4,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,8,1,2,3,1,1,3,3,1,3,2,2,1,1,3,1,3,1,1,1,2,1,1,2,1,1,2,1,3,3,3,1,1,1,1,1,3,3,1,202201001,1
85.13869881,4,2,2,4,2,1,1,1,1,1,3,1,2,2,1,1,2,2,1,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,8,1,2,3,1,1,2,3,2,3,2,2,1,1,3,1,3,1,1,1,2,1,1,2,1,1,2,1,3,3,3,1,1,1,1,1,3,3,1,202201001,1
85.13869881,4,2,2,5,2,1,1,1,1,1,3,1,2,2,1,1,2,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,8,1,1,2,1,2,3,3,3,3,2,2,1,1,3,1,3,3,3,1,2,1,1,3,2,2,3,1,3,3,3,2,1,1,1,1,3,1,3,202201001,1
